PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
5816,9.496673,-0.037785,-0.867421,0.36739,-0.025784,0.215993,-136.722821,-79.341722,-57.38566
5817,9.970904,0.008458,-1.609789,0.236497,-0.050991,0.215654,-136.217805,-79.233865,-57.762079
5818,10.253333,0.885799,-1.603429,0.146339,-0.060458,0.210958,-135.802652,-79.123435,-58.099686
5819,10.247528,1.552182,-1.070157,-0.003596,-0.07948,0.227293,-135.485827,-78.998296,-58.424511
5820,9.702049,0.780551,-0.814268,-0.126241,-0.124234,0.236169,-135.319168,-78.851038,-58.668339
5821,9.18776,-0.520759,-1.221029,-0.103347,-0.118416,0.241231,-135.123426,-78.704063,-58.927877
5822,8.753778,-1.575856,-1.672007,-0.023634,-0.112346,0.245477,-134.866826,-78.557521,-59.203728
5823,9.384539,-2.353933,-1.725924,0.054458,-0.117924,0.254799,-134.565996,-78.404784,-59.478472
5824,10.33717,-2.857367,-1.280484,0.117164,-0.06918,0.269442,-134.111755,-78.265092,-59.874049
5825,10.527803,-3.189384,-1.168415,0.158509,-0.022619,0.274324,-133.542778,-78.141155,-60.361544
5826,10.061206,-2.004775,-1.296237,0.185018,0.023224,0.252589,-132.919096,-78.043242,-60.890906
5827,10.014188,-1.686959,-1.209675,0.143897,0.027029,0.252217,-132.321667,-77.945867,-61.417378
5828,9.94629,-1.711408,-1.368368,0.142408,0.030727,0.257961,-131.716312,-77.846257,-61.95335
5829,9.809036,-1.433423,-1.182319,0.129003,0.033798,0.278743,-131.086026,-77.737716,-62.522587
5830,9.763435,-1.482479,-1.082422,0.090794,0.01654,0.290232,-130.502576,-77.616417,-63.066851
5831,9.474416,-1.592353,-1.065359,0.08052,0.003113,0.306722,-129.935456,-77.481827,-63.600368
5832,9.638964,-1.817514,-1.018256,0.056633,-0.02163,0.305779,-129.44368,-77.337491,-64.071316
5833,9.771058,-1.966862,-1.126412,0.046602,-0.028138,0.301208,-128.988679,-77.192034,-64.510416
5834,9.917153,-1.798339,-1.226677,0.066723,-0.019021,0.286187,-128.537577,-77.055746,-64.934241
5835,9.745246,-1.913783,-1.578144,0.039718,-0.008409,0.278441,-128.102306,-76.926052,-65.357636
5836,9.83032,-1.775604,-1.833935,0.060883,0.016039,0.281166,-127.61188,-76.802887,-65.825721
