PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
5816,11.854056,-1.448209,-4.443287,0.968964,2.144676,0.151244,-154.891954,-77.51377,151.759027
5817,12.076726,-0.896475,-3.743583,1.026707,2.085965,0.145252,-151.419146,-78.545737,148.812978
5818,12.338251,-0.635464,-3.630926,0.943236,1.949446,0.168428,-147.542531,-79.461511,145.418126
5819,12.547993,-0.816582,-3.845422,0.675212,2.017133,0.159686,-143.045069,-80.36334,141.24562
5820,13.193301,-1.427129,-3.553402,0.24934,2.256031,0.114188,-137.474317,-81.319083,135.751436
5821,13.463903,-1.977052,-3.616624,0.040797,2.431268,0.03188,-130.409595,-82.278086,128.640186
5822,13.42898,-1.924568,-2.968353,0.086039,2.660864,-0.080253,-120.836686,-83.209654,119.043851
5823,13.125013,-1.624113,-2.690634,0.415629,2.743641,-0.092927,-108.087184,-83.917396,106.456423
5824,12.822954,-1.281458,-1.610437,0.858642,2.680071,-0.010476,-93.048556,-84.21063,91.835752
5825,13.004421,-1.086405,-0.495402,1.110087,2.400936,0.11162,-79.053195,-84.054884,78.409163
5826,13.308233,-1.212768,0.063263,1.249161,2.25555,0.208147,-67.220485,-83.566654,67.23098
5827,13.555796,-1.254575,0.834524,1.064431,2.346517,0.265701,-57.212334,-82.805639,57.768802
5828,12.716879,-2.255299,0.710105,0.462926,2.561188,0.240176,-48.851637,-81.813188,49.603835
5829,11.700903,-3.045187,0.173655,0.416732,2.700067,0.154223,-41.845075,-80.66303,42.759102
5830,11.135854,-2.155259,0.746942,0.635146,2.70528,0.075565,-36.097685,-79.431203,37.29729
5831,10.673472,-0.934477,1.21277,0.717223,2.751679,0.041774,-31.354988,-78.106903,32.883807
5832,10.113222,0.093994,1.328906,0.694382,2.684315,0.025539,-27.602686,-76.761619,29.45081
5833,10.085069,0.49639,1.61325,0.618218,2.451109,0.062093,-24.84632,-75.486464,26.97911
5834,9.733966,0.229518,1.690043,0.540469,2.377362,0.141679,-22.766771,-74.208426,25.148976
5835,9.83946,-0.267145,2.156429,0.606001,2.361095,0.173652,-21.006766,-72.916309,23.678597
5836,10.093543,-0.5,2.90719,0.585138,2.20872,0.202755,-19.623725,-71.690077,22.582135
5837,9.959348,-0.971168,3.321703,0.605811,2.182089,0.242287,-18.455261,-70.463081,21.716448
5838,10.197481,-1.311164,3.574454,0.635105,1.984389,0.257035,-17.504067,-69.336957,21.094355
5839,10.439032,-1.236977,3.694492,0.713114,1.749513,0.265171,-16.696184,-68.334225,20.668774
5840,10.548119,-1.118692,3.61809,0.716638,1.615566,0.249088,-15.97204,-67.406489,20.333584
5841,10.676928,-0.830852,3.51271,0.765203,1.565876,0.246646,-15.273463,-66.504322,20.053502
5842,10.622597,-0.407767,3.38458,0.818581,1.714863,0.250067,-14.538144,-65.518606,19.765292
5843,10.378633,-0.044786,3.383498,0.806669,1.973559,0.244019,-13.76326,-64.387789,19.422819
5844,10.019728,0.17071,3.552409,0.707829,2.242792,0.226382,-13.001687,-63.108193,19.029099
5845,9.749136,0.173274,3.851197,0.58853,2.433668,0.216409,-12.30121,-61.720208,18.621986
5846,9.693641,0.187862,4.311247,0.444552,2.492018,0.204415,-11.709108,-60.299757,18.239449
5847,9.642315,0.010882,4.660109,0.291754,2.434573,0.209722,-11.25981,-58.908477,17.91517
5848,9.527137,-0.2685,4.838829,0.252379,2.395384,0.210543,-10.873477,-57.538862,17.633949
5849,9.076668,-0.493642,4.884354,0.310301,2.402849,0.190385,-10.46092,-56.165299,17.356447
5850,8.51214,-0.450664,5.116394,0.401142,2.411737,0.15552,-9.994809,-54.790058,17.07281
5851,7.976741,-0.3658,5.54857,0.389715,2.384614,0.095156,-9.517717,-53.433799,16.762536
5852,7.718995,-0.166458,6.034838,0.297614,2.170893,0.064142,-9.122835,-52.200834,16.484075
5853,7.837989,-0.110473,6.35071,0.280093,1.827494,0.054776,-8.787759,-51.161084,16.264614
5854,7.84943,-0.081546,6.407227,0.279035,1.507204,0.043277,-8.492851,-50.303939,16.09335
5855,7.400836,-0.063988,6.270962,0.454243,1.215455,0.088641,-8.16509,-49.606928,16.008321
5856,7.082285,0.027747,6.489272,0.46266,0.692664,0.131363,-7.916014,-49.203729,16.032551
5857,7.217787,-0.347688,6.492254,0.3341,0.131915,0.15807,-7.809302,-49.11584,16.1477
5858,7.338731,-0.969631,5.833616,0.325741,-0.205421,0.188355,-7.758654,-49.218093,16.330559
5859,7.139114,-0.995968,5.309409,0.545684,-0.501241,0.185236,-7.606084,-49.487877,16.544712
5860,8.195317,-0.515848,5.535449,0.511681,-0.88756,0.197949,-7.518401,-49.977317,16.817119
5861,8.270359,-0.519478,5.113819,0.393932,-1.009479,0.21528,-7.5235,-50.533935,17.120417
5862,8.200954,-0.463547,4.570235,0.47084,-1.095522,0.20747,-7.492726,-51.140996,17.431689
5863,8.123472,0.134466,4.600631,0.526672,-1.22217,0.214183,-7.450699,-51.818691,17.766734
5864,7.685662,0.172631,4.289289,0.462421,-1.256135,0.247919,-7.480919,-52.514177,18.143398
5865,6.888808,-0.019032,3.688744,0.482914,-1.328083,0.238077,-7.506287,-53.250174,18.525214
5866,7.137358,0.097111,3.740168,0.437278,-1.657777,0.244388,-7.608055,-54.173721,18.965129
5867,6.76442,-0.087624,3.274237,0.487641,-1.691859,0.258647,-7.709606,-55.114052,19.435162
5868,6.070879,0.010994,2.895826,0.626859,-1.605723,0.225762,-7.710174,-56.008811,19.874083
5869,5.771085,0.175742,2.730728,0.56926,-1.659701,0.156723,-7.702228,-56.938487,20.258685
5870,5.480383,-0.089673,2.728189,0.576384,-1.689758,0.134728,-7.686884,-57.888034,20.635075
5871,4.9884,-0.151629,2.623564,0.625575,-1.599249,0.094471,-7.604117,-58.788351,20.961764
5872,4.252923,-0.136547,2.377702,0.549636,-1.510626,0.032663,-7.503359,-59.644343,21.213649
5873,4.407157,-0.277651,2.313444,0.392918,-1.689543,0.035489,-7.524172,-60.600762,21.500054
5874,4.601424,-0.344821,2.25815,0.283556,-1.787444,0.022543,-7.621044,-61.614699,21.798818
5875,4.644944,-0.11677,2.140975,0.271886,-1.538527,0.004355,-7.681051,-62.487393,22.045815
5876,4.836598,0.370119,2.460936,0.198758,-1.429058,-0.017491,-7.753669,-63.300566,22.257852
5877,5.27274,0.632464,2.651508,0.008373,-1.419804,0.000351,-7.963712,-64.105764,22.500169
5878,5.709851,0.718674,2.671605,-0.036801,-1.331086,0.002238,-8.202641,-64.861133,22.744022
5879,6.125066,1.282778,2.808919,-0.063992,-1.341652,0.035077,-8.513435,-65.618172,23.048546
5880,6.384375,1.361046,2.305532,-0.228471,-1.350895,0.062971,-8.978604,-66.3782,23.41682
5881,6.787581,0.93949,1.756052,-0.280793,-1.34498,0.077646,-9.518128,-67.13113,23.83152
5882,7.209643,0.759336,1.592846,-0.239009,-1.268946,0.102801,-10.082776,-67.838148,24.296771
5883,7.138814,0.215176,1.711778,-0.286877,-1.074976,0.11398,-10.671072,-68.431788,24.756142
5884,6.876284,-0.72605,1.966679,-0.299828,-0.960703,0.124424,-11.279597,-68.959308,25.227083
5885,7.152948,-1.483497,2.239521,-0.293407,-0.970288,0.144663,-11.943399,-69.486833,25.759819
5886,7.849972,-2.331537,2.297678,-0.324789,-0.974285,0.18466,-12.720939,-70.01041,26.392417
5887,8.418341,-2.670558,2.500883,-0.223121,-0.891685,0.226535,-13.50968,-70.478292,27.0972
5888,8.71901,-2.341954,2.545143,-0.152319,-0.890307,0.253531,-14.338407,-70.939408,27.885023
5889,8.751921,-2.028282,2.528499,-0.104547,-0.95638,0.258203,-15.213855,-71.431408,28.749139
5890,8.435724,-1.781317,2.307659,-0.065024,-0.937869,0.236147,-16.06951,-71.913458,29.613594
5891,7.95076,-1.614328,2.082666,-0.020414,-0.91568,0.20526,-16.878146,-72.383226,30.453364
5892,7.204333,-1.172127,2.084753,0.073047,-0.796784,0.161581,-17.536297,-72.793097,31.18935
5893,6.402686,-0.864288,2.252977,0.069989,-0.765166,0.151393,-18.189717,-73.183868,31.917117
5894,5.918208,-0.656348,2.355055,0.093816,-0.831028,0.139063,-18.883993,-73.611217,32.70007
5895,5.655652,-0.446107,2.357473,0.072876,-0.86608,0.133754,-19.639854,-74.054594,33.533028
5896,5.602604,-0.489611,2.080491,0.05544,-0.895885,0.136758,-20.481709,-74.511177,34.442966
5897,5.840212,-0.694708,1.732685,0.046082,-0.894754,0.136658,-21.376959,-74.962374,35.400806
5898,6.125421,-0.925227,1.387255,0.047084,-0.816913,0.141808,-22.277612,-75.368047,36.362813
5899,6.321392,-1.222472,1.527836,0.084612,-0.689492,0.155564,-23.120451,-75.698559,37.2858
5900,6.53992,-1.269873,1.713642,0.130449,-0.695237,0.164625,-24.006666,-76.027451,38.279183
5901,6.762074,-1.373358,1.60671,0.126829,-0.732819,0.172924,-24.990761,-76.369029,39.369839
5902,7.164682,-1.58033,1.294055,0.146985,-0.779357,0.168229,-26.059979,-76.732019,40.558248
5903,7.30163,-1.591696,0.96589,0.223271,-0.813627,0.133655,-27.105162,-77.11539,41.765049
5904,7.244037,-1.502387,0.807605,0.292367,-0.778419,0.078535,-28.015459,-77.491637,42.872367
5905,7.200728,-1.445325,0.690092,0.349287,-0.771353,0.022659,-28.809897,-77.875044,43.892823
5906,7.40672,-1.536147,0.49819,0.396576,-0.776781,-0.039945,-29.499181,-78.276627,44.832067
5907,7.643881,-1.670636,0.357427,0.474641,-0.753805,-0.084237,-30.051685,-78.676433,45.675936
5908,7.920281,-1.667752,0.059881,0.546458,-0.720725,-0.121482,-30.475014,-79.069994,46.429038
5909,8.234318,-1.670887,-0.293104,0.579614,-0.684067,-0.145763,-30.793549,-79.450806,47.093718
5910,8.658319,-1.690366,-0.366685,0.6254,-0.632352,-0.150473,-31.031615,-79.807804,47.702619
