PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
5818,8.301512,3.116,-0.90564,-0.131746,0.153913,-0.316839,113.234889,-70.911581,-115.854181
5819,7.773853,1.369179,-1.647643,0.072957,0.120922,-0.318234,112.889553,-70.770363,-115.443041
5820,8.026767,0.47017,-2.399452,0.336729,0.069527,-0.304313,112.786245,-70.62455,-115.12954
5821,9.242017,1.99144,-2.558485,0.433083,0.017488,-0.315737,112.811827,-70.461138,-114.891969
5822,10.193598,3.343205,-1.804181,0.171302,0.051705,-0.324841,112.633399,-70.300324,-114.598729
5823,10.182089,3.74793,-0.706188,-0.198792,0.103019,-0.362459,112.149968,-70.130284,-114.204693
5824,10.067049,3.474809,-0.203592,-0.381532,0.120759,-0.387297,111.528981,-69.949473,-113.776977
5825,9.51429,3.898272,-0.242337,-0.258662,0.092124,-0.403844,111.019851,-69.752515,-113.391095
5826,9.107379,4.581502,-0.007333,-0.163535,0.054341,-0.414937,110.621645,-69.540808,-113.066695
5827,8.344838,3.299172,-0.227241,-0.057881,0.043246,-0.427056,110.300528,-69.319694,-112.757673
5828,8.803719,3.88572,-0.692689,0.059291,-0.042297,-0.41056,110.181771,-69.090054,-112.594687
5829,9.386106,4.117659,-1.0534,0.031894,-0.030116,-0.394369,110.0418,-68.871415,-112.424261
5830,9.368777,3.753861,-1.37682,0.02,0.004436,-0.376122,109.859485,-68.669168,-112.216765
5831,9.482683,3.661692,-1.238266,0.011014,0.031305,-0.366995,109.643362,-68.476751,-111.976534
5832,9.55867,3.518984,-1.244926,-0.010289,0.063528,-0.357621,109.379777,-68.295234,-111.699743
5833,9.407128,3.319562,-1.264867,-0.042284,0.075724,-0.363216,109.083311,-68.112469,-111.405224
5834,9.123345,3.259706,-1.369887,-0.012146,0.073194,-0.372539,108.808013,-67.923667,-111.116237
5835,8.984722,3.538822,-1.2382,0.033956,0.080671,-0.382349,108.549532,-67.730392,-110.814708
5836,9.135765,3.769104,-1.213087,0.001279,0.07704,-0.386776,108.279964,-67.533553,-110.522804
5837,9.191089,3.7693,-1.370098,-0.010884,0.105407,-0.387103,107.971084,-67.341015,-110.193655
5838,9.330546,3.867701,-1.177737,-0.061386,0.130412,-0.376934,107.610453,-67.15769,-109.841128
5839,8.997113,3.804053,-1.167781,-0.091606,0.147222,-0.371637,107.21861,-66.979258,-109.471567
5840,9.107265,3.871862,-1.193275,-0.096287,0.13828,-0.347589,106.850672,-66.811546,-109.131915
5841,8.966572,3.766463,-1.37019,-0.090467,0.133692,-0.324755,106.505578,-66.654738,-108.811311
5842,8.957787,4.149149,-1.165964,-0.103224,0.116847,-0.312239,106.183443,-66.501414,-108.525096
5843,8.766388,4.708114,-0.834757,-0.14059,0.128366,-0.29539,105.835533,-66.358491,-108.232287
5844,8.72615,4.5839,-0.653896,-0.192426,0.128707,-0.263708,105.472215,-66.232415,-107.956296
5845,8.687285,3.802969,-0.823624,-0.154504,0.128367,-0.233613,105.144485,-66.122184,-107.693902
5846,8.930458,3.995816,-1.030085,-0.05269,0.10061,-0.206327,104.921231,-66.022489,-107.483079
5847,8.907644,4.128974,-0.902613,-0.06742,0.107782,-0.192285,104.686997,-65.931215,-107.268129
5848,8.738215,3.986966,-0.982466,-0.076761,0.093956,-0.175585,104.471523,-65.846934,-107.080639
